Property_Name,Building_Name,Street_No_From,Street_name,Latitude,Longitude,PLN_AREA_N,PLN_AREA_C,REGION_N
84 Genting Lane,84 Genting Lane,84,Genting Lane,1.324543,103.877307,GEYLANG,GL,Central
HB@119 Genting Lane,HB@119 Genting Lane,119,Genting Lane,1.324876,103.878196,GEYLANG,GL,Central
25 Kallang Avenue,25 Kallang Avenue,25,Kallang Avenue ,1.310798,103.865951,KALLANG,KL,Central
16 Kallang Avenue,16 Kallang Avenue,16,Kallang Avenue ,1.3166647,103.8662707,KALLANG,KL,Central
732 Geylang Road,732 Geylang Road,732,Geylang Road,1.314853,103.891799,GEYLANG,GL,Central
23 Ubi Road 1,23 Ubi Road 1,23,Ubi Road 1,1.326119,103.892383,GEYLANG,GL,Central
128 Joo Seng Road,128 Joo Seng Road,128,Joo Seng Road,1.337131,103.882636,TOA PAYOH,TP,Central
Central Link,Central Link,8,Jalan Kilang Barat,1.285299,103.807948,BUKIT MERAH,BM,Central
5 Lorong Bakar Batu,5 Lorong Bakar Batu,5,Lorong Bakar Batu,1.327931,103.872886,GEYLANG,GL,Central
535 Kallang Bahru,535 Kallang Bahru,535,Kallang Bahru,1.321211,103.870818,KALLANG,KL,Central
138 Joo Seng Road,138 Joo Seng Road,138,Joo Seng Road,1.337811,103.884601,TOA PAYOH,TP,Central
443 Tanjong Katong Road,443 Tanjong Katong Road,443,Tanjong Katong Road,1.2996,103.897219,MARINE PARADE,MP,Central
445 Tanjong Katong Road,445 Tanjong Katong Road,445,Tanjong Katong Road,1.29956,103.897323,MARINE PARADE,MP,Central
447 Tanjong Katong Road,447 Tanjong Katong Road,447,Tanjong Katong Road,1.299584,103.89741,MARINE PARADE,MP,Central
2 Amber Road,2 Amber Road,2,Amber Road,1.299319257,103.8973687,MARINE PARADE,MP,Central
Toa Payoh Tower 3,Toa Payoh Tower 3,620A,Lorong 1 Toa Payoh,1.336313,103.841893,TOA PAYOH,TP,Central
736 Geylang Road,736 Geylang Road,736,Geylang Road,1.314845,103.891924,GEYLANG,GL,Central
181/183/185 Macpherson Road,181/183/185 Macpherson Road ,,Macpherson Road,1.3303133,103.8752697,TOA PAYOH,TP,Central
1 Jalan Wangi,1 Jalan Wangi,1,,1.329931,103.8741825,TOA PAYOH,TP,Central
Hexacube,Hexacube,160,Changi Road,1.31681,103.902415,GEYLANG,GL,Central
1/A/B Jalan Wangi,1/A/B Jalan Wangi,1/A/B,Jalan Wangi,1.329931,103.8741824,TOA PAYOH,TP,Central
Townerville,Townerville,12,May Road,1.3209424,103.8581333,KALLANG,KL,Central
Ascent Tower B,Ascent Tower B,2,Science Park Drive,1.2907615,103.784855,QUEENSTOWN,QT,Central
Ascent Tower A,Ascent Tower A,2,Science Park Drive,1.2907615,103.784855,QUEENSTOWN,QT,Central
712B Geylang Road,712B Geylang Road,712B,Geylang Road,1.314778,103.891166,GEYLANG,GL,Central
998 Toa Payoh North,998 Toa Payoh North,998,Toa Payoh North,1.343191,103.850476,TOA PAYOH,TP,Central
Toa Payoh North 1,Toa Payoh North 1,970,Toa Payoh North,1.342747,103.850953,TOA PAYOH,TP,Central
